employee_id,department,gender,age,length_of_service,previous_year_rating,awards_won?,no_of_trainings,avg_training_score,is_promoted
60763,Procurement,f,23,2,3,0,1,73,0
53167,Sales & Marketing,m,31,4,3,0,2,50,0
32672,Analytics,m,42,19,2,0,1,79,0
48785,Sales & Marketing,m,29,2,4,0,3,49,0
51444,HR,f,30,1,,0,1,54,0
75778,Operations,m,41,6,4,0,1,63,0
14141,Sales & Marketing,f,40,2,3,0,1,90,1
17894,Sales & Marketing,m,34,5,5,0,1,49,0
54380,Sales & Marketing,f,31,2,4,0,1,46,0
51892,Technology,m,27,2,5,0,1,86,1
3625,Procurement,m,30,2,3,0,4,72,0
38771,Procurement,f,27,4,4,0,1,72,1
18959,Technology,m,36,7,4,0,4,82,0
21137,Technology,m,35,6,4,0,1,77,0
26097,Sales & Marketing,m,34,7,5,0,1,51,1
38052,Procurement,m,37,3,5,1,1,92,1
41746,Operations,f,27,1,,0,1,58,0
72744,Procurement,m,47,5,3,0,2,71,0
5461,Analytics,m,28,1,,0,1,83,0
15227,Procurement,f,40,5,5,0,1,68,0
66874,Sales & Marketing,f,30,1,,0,1,50,0
42068,Operations,m,38,9,5,0,1,61,0
54825,Sales & Marketing,m,30,2,3,0,1,47,0
77709,Sales & Marketing,f,28,3,5,0,1,46,0
43712,Procurement,m,28,4,5,0,2,67,0
74783,Operations,m,35,7,4,0,1,58,0
19318,Analytics,m,32,8,3,0,1,89,1
12096,Sales & Marketing,m,36,8,5,0,1,50,0
5102,Operations,m,24,1,,0,1,56,0
29521,Technology,m,27,4,3,0,1,78,0
36371,Finance,m,34,7,3,0,2,56,0
51164,Technology,f,31,4,4,1,1,78,0
17812,Technology,f,30,2,4,0,1,77,0
7606,Technology,f,30,7,3,1,2,76,0
50593,Finance,m,31,1,,0,1,56,0
73735,Analytics,m,30,3,5,0,1,84,0
29313,Finance,m,28,2,3,0,1,57,0
40262,Technology,m,28,5,3,0,2,81,0
36904,Sales & Marketing,m,29,2,3,0,1,51,0
62552,Sales & Marketing,m,46,11,3,0,1,51,0
63285,Technology,m,31,4,5,0,1,80,0
74203,Procurement,m,28,4,1,0,1,72,0
75344,Sales & Marketing,m,31,6,4,0,1,50,0
74018,HR,f,37,9,3,0,1,48,0
34985,Technology,f,34,8,5,0,2,88,1
35930,Procurement,m,25,3,5,0,1,70,1
6708,Operations,m,40,4,4,0,1,57,0
5515,Operations,m,43,7,3,0,1,56,1
53373,Operations,m,36,5,1,0,1,56,0
69316,Legal,m,29,3,3,0,1,63,0
41009,Finance,m,35,2,3,0,2,56,0
50622,Analytics,m,34,2,5,0,1,84,0
30106,Sales & Marketing,f,32,4,4,0,1,45,0
45157,HR,m,27,1,,0,1,50,0
23523,Technology,m,29,5,3,0,1,75,0
74349,Sales & Marketing,m,34,4,1,0,1,48,0
70543,Procurement,m,37,7,5,0,1,70,0
42245,Procurement,f,33,3,3,0,1,73,0
34405,Procurement,f,33,4,5,0,1,67,0
4134,Sales & Marketing,f,39,8,1,0,1,45,0
23599,Technology,m,34,7,4,0,1,82,0
942,Technology,m,32,6,4,0,2,84,0
5281,Sales & Marketing,m,34,6,4,0,1,53,0
197,Finance,m,29,6,5,0,1,61,0
37574,Sales & Marketing,m,28,2,1,0,2,50,0
26773,Technology,f,28,5,2,0,1,75,0
70034,Procurement,f,35,9,3,0,2,70,0
40565,Technology,f,40,3,3,0,2,86,0
17193,Sales & Marketing,f,27,4,2,0,2,54,0
76550,Procurement,f,26,3,3,0,3,70,0
53841,Operations,m,43,12,2,0,1,57,0
28314,Finance,m,23,1,,0,1,61,0
30196,Analytics,m,29,6,5,0,1,84,0
29757,Sales & Marketing,m,43,15,3,0,1,51,0
6073,Sales & Marketing,m,27,4,4,0,3,49,0
9863,Procurement,m,26,4,4,0,1,70,0
34306,Procurement,f,31,5,5,0,1,72,0
34041,Operations,m,40,11,4,0,1,58,0
21356,Operations,f,39,12,5,0,2,55,0
29540,Operations,f,30,6,3,0,2,57,0
51669,Technology,m,47,4,4,0,1,77,0
33825,Sales & Marketing,m,34,7,4,0,1,48,1
6254,Operations,f,33,9,4,0,1,64,0
11645,Sales & Marketing,m,41,7,5,0,1,51,0
3231,Technology,m,29,4,1,0,1,80,0
7030,Analytics,f,32,4,3,0,1,86,0
54198,Procurement,f,47,9,5,0,1,68,0
62293,Operations,m,35,3,4,0,1,65,0
25312,Technology,m,27,2,4,0,1,75,0
75610,Analytics,m,29,3,1,0,1,81,0
16518,Sales & Marketing,m,36,9,3,0,2,49,0
42747,Sales & Marketing,m,35,8,1,0,2,39,0
67980,Procurement,f,34,2,3,0,2,70,0
53630,Sales & Marketing,f,34,5,4,1,1,94,1
72423,Operations,m,39,2,3,0,1,60,0
73022,Sales & Marketing,m,26,2,5,0,1,51,0
63976,Operations,f,30,4,5,0,1,56,0
60761,Operations,f,31,2,4,0,1,62,0
57228,HR,m,44,6,5,0,1,48,0
14912,Sales & Marketing,m,38,4,3,0,1,49,0
22725,Technology,m,40,3,1,0,1,78,0
18981,Legal,m,50,6,5,1,1,58,0
50845,Procurement,m,44,12,3,0,1,70,0
11800,Procurement,f,23,2,1,0,1,69,0
16351,Sales & Marketing,f,36,2,1,0,1,53,0
75881,Analytics,m,25,4,1,0,1,80,0
73200,Operations,m,34,4,5,0,1,58,0
17833,Analytics,m,28,1,,0,1,85,0
58338,Analytics,m,30,6,5,0,2,81,0
40187,Procurement,m,35,8,1,0,1,67,0
70193,Analytics,m,33,8,4,0,1,86,0
27188,Analytics,m,30,4,3,0,1,80,0
24291,Analytics,m,27,3,5,0,2,85,0
43676,Procurement,m,29,1,,0,4,68,0
52231,Operations,m,43,3,3,0,1,58,0
34241,Analytics,m,28,5,3,0,2,86,0
76661,Procurement,m,31,3,5,0,1,68,0
50595,Operations,f,43,12,4,0,1,58,0
67673,Operations,f,35,9,5,0,1,60,0
10547,Sales & Marketing,m,35,9,3,0,2,49,0
73405,Operations,m,50,8,3,0,1,59,0
73114,HR,f,26,3,4,0,1,50,0
22572,Sales & Marketing,m,32,5,3,0,1,52,0
62923,Operations,f,38,2,5,1,1,93,1
57235,Sales & Marketing,m,22,2,4,0,1,51,0
22300,HR,m,28,1,,0,1,52,0
24090,Procurement,f,37,9,3,0,1,69,0
57298,Analytics,m,54,9,3,0,2,86,0
25629,Sales & Marketing,m,36,8,3,0,1,51,0
71339,Technology,m,35,8,3,0,1,78,0
54714,Analytics,m,39,4,3,0,1,85,0
7390,Operations,f,31,4,5,0,1,63,0
9563,Operations,m,38,7,3,1,2,60,0
39107,Sales & Marketing,m,28,2,1,0,1,48,0
19445,Sales & Marketing,m,26,3,2,0,3,52,0
42636,Sales & Marketing,m,29,1,,0,1,54,0
32557,Analytics,m,30,4,3,0,1,84,0
43396,Operations,m,37,4,2,0,2,57,1
24414,R&D,m,25,1,,0,1,76,0
63237,Technology,m,26,2,4,0,1,82,0
32838,Technology,m,31,4,4,0,1,78,0
23003,Technology,f,38,7,5,0,1,82,0
45198,Sales & Marketing,m,39,9,4,0,1,49,0
40376,Sales & Marketing,m,30,4,5,1,1,50,0
60176,Procurement,f,34,8,5,0,1,67,0
67652,Procurement,f,33,5,3,0,1,72,0
15476,Technology,f,29,3,5,0,1,78,0
55811,Operations,m,28,2,4,0,1,61,0
15737,Finance,m,24,1,,0,1,56,0
10058,Analytics,m,26,2,4,0,2,87,0
73435,Legal,m,34,4,5,0,1,64,0
51255,Sales & Marketing,m,35,7,3,0,1,46,0
70060,Technology,m,43,14,3,0,1,79,0
51473,Sales & Marketing,m,34,8,1,0,1,39,0
71904,Technology,f,38,10,3,0,2,88,0
76080,Operations,f,34,5,1,0,1,54,0
33357,Operations,m,41,4,4,0,1,63,0
53502,Finance,m,29,4,1,0,2,61,0
26409,Operations,m,33,3,4,0,1,61,0
59608,Sales & Marketing,f,41,5,4,0,1,48,0
28687,Operations,m,38,11,3,0,3,57,0
34312,Procurement,f,54,23,4,0,2,66,0
11438,Sales & Marketing,f,34,8,2,0,2,49,0
11794,R&D,m,26,3,5,0,2,87,0
48756,Operations,f,35,3,5,0,1,59,0
35873,Legal,m,28,1,,0,1,62,0
13970,Operations,m,36,4,3,0,1,60,0
49868,Technology,m,45,15,3,0,1,87,0
25261,Procurement,m,38,7,4,0,1,66,0
44536,Sales & Marketing,f,26,4,2,0,1,47,0
55550,Analytics,m,31,4,3,0,1,85,0
27989,Analytics,m,32,7,3,0,1,87,0
12598,Analytics,m,29,4,4,0,1,78,0
32877,Sales & Marketing,f,40,12,3,0,1,50,0
30682,Technology,m,29,6,4,0,2,75,0
1829,Analytics,m,31,7,5,0,2,87,0
2177,Finance,m,32,6,5,0,1,58,0
51771,Operations,m,42,11,5,0,1,67,0
26026,Procurement,f,30,3,5,0,1,65,0
64977,Procurement,f,24,2,3,0,1,70,0
44585,Sales & Marketing,m,35,7,3,0,1,56,0
43562,Technology,f,32,3,1,0,2,80,0
56287,HR,f,22,2,3,0,1,47,0
19100,Sales & Marketing,m,44,14,5,0,2,48,0
58203,Operations,m,39,9,3,0,2,58,0
12504,Technology,f,46,17,4,0,1,85,0
49126,Technology,m,29,5,2,0,1,77,0
66469,Finance,m,26,3,1,0,1,59,0
53350,Operations,m,35,5,4,0,1,61,0
22031,Procurement,f,29,2,4,0,1,95,1
36185,Technology,m,30,9,2,0,1,79,0
58415,Sales & Marketing,m,45,5,4,0,1,50,0
71763,Sales & Marketing,f,30,6,1,0,1,47,0
62742,Finance,m,28,4,2,0,1,59,0
33619,Technology,m,46,10,5,0,1,76,0
41212,Procurement,m,27,2,2,0,1,69,0
40204,Sales & Marketing,m,34,5,2,0,1,47,0
59131,Analytics,m,32,3,5,0,2,86,0
12559,Operations,f,35,10,5,0,1,63,0
30433,Procurement,m,36,3,4,0,1,66,0
13150,Procurement,f,58,13,1,0,1,70,0
9616,Finance,m,29,4,4,0,1,57,0
26563,Procurement,f,33,3,3,0,1,67,0
38331,Operations,f,32,6,5,0,1,62,0
18651,Legal,m,25,2,5,0,1,59,0
45004,Procurement,m,41,9,2,0,4,68,0
11892,Procurement,f,25,1,,0,1,69,0
16859,Analytics,m,50,7,1,1,1,79,0
26107,Sales & Marketing,m,30,7,1,0,1,53,0
22511,Technology,m,28,1,,0,1,81,0
22865,Analytics,m,40,5,5,1,1,83,1
67467,Finance,f,26,2,3,0,1,61,0
2268,Technology,m,35,8,5,0,1,81,0
33517,Sales & Marketing,m,37,7,3,0,1,52,0
27605,Operations,m,34,3,3,0,1,75,1
69349,Operations,m,25,2,3,0,1,57,0
45496,Sales & Marketing,m,22,2,5,0,1,62,1
66262,Procurement,f,26,2,5,0,2,68,1
55425,Technology,f,31,7,4,0,1,80,0
29543,Finance,m,31,3,5,0,4,60,0
36547,Analytics,m,32,6,3,0,1,86,0
11205,Sales & Marketing,m,36,8,5,0,1,48,0
469,Technology,f,57,19,3,0,1,81,0
44703,Sales & Marketing,f,42,9,4,0,1,51,0
14847,Sales & Marketing,m,28,3,3,0,1,48,0
43689,Analytics,m,33,3,4,0,2,86,0
72157,Analytics,m,41,3,3,0,1,86,0
74579,Operations,m,26,1,,0,2,61,0
51544,Procurement,f,32,5,5,1,1,84,1
5128,Operations,m,48,8,3,0,1,57,0
37952,Operations,m,41,7,3,0,1,58,0
39914,Technology,m,31,4,5,0,1,82,0
74332,Sales & Marketing,m,37,5,4,0,1,54,0
42886,Analytics,m,30,4,1,0,1,84,0
53988,Finance,m,26,2,5,0,1,60,0
49775,Sales & Marketing,m,44,11,5,0,1,42,0
66965,Operations,f,44,10,3,0,1,60,0
70197,R&D,m,30,2,4,0,1,96,1
66210,Operations,m,24,2,3,0,1,59,0
71008,Sales & Marketing,m,40,10,1,0,1,49,0
52132,Technology,m,32,5,3,0,1,80,0
72604,Sales & Marketing,m,40,7,5,0,1,53,0
66802,Technology,f,24,3,4,0,2,78,0
55730,Sales & Marketing,m,45,15,4,0,1,64,1
8284,Sales & Marketing,f,34,5,5,0,1,60,1
69715,Operations,f,58,18,4,0,1,60,0
36117,Technology,m,35,7,3,0,1,82,0
56139,Sales & Marketing,m,24,2,4,0,1,51,0
15924,Sales & Marketing,m,35,8,2,0,1,48,0
41776,Technology,m,31,2,1,0,1,81,0
25949,Operations,m,33,5,3,0,1,60,0
51509,HR,f,44,14,3,0,1,47,0
36936,Sales & Marketing,m,24,2,2,0,1,52,1
25572,Procurement,m,34,10,2,0,2,69,0
11337,Sales & Marketing,m,37,2,5,0,1,54,0
34965,Operations,m,31,4,3,0,2,63,0
38318,Procurement,m,32,8,3,0,1,69,0
60969,Operations,f,33,7,5,0,1,57,0
72765,Operations,f,53,11,3,0,1,57,0
16951,Operations,m,37,4,5,0,2,57,0
54416,Sales & Marketing,m,30,5,2,0,1,49,0
4585,Analytics,m,35,3,5,0,1,81,0
64140,Technology,m,32,4,3,0,1,80,0
35746,Operations,m,45,9,3,0,1,61,0
6587,Procurement,m,29,1,,0,1,69,0
1901,Sales & Marketing,m,31,4,3,0,2,53,0
56849,Technology,m,34,8,3,0,2,80,0
56233,Analytics,f,24,1,,0,1,86,0
15844,Operations,f,31,7,5,0,1,59,0
1497,Sales & Marketing,f,37,6,3,0,1,47,0
11488,Sales & Marketing,m,42,12,3,0,1,48,0
59616,Procurement,m,40,6,3,0,1,72,0
9002,Operations,m,37,5,5,0,1,64,0
63753,Operations,m,50,8,3,0,1,57,0
9192,Operations,m,28,1,,0,1,61,0
30143,HR,f,57,13,3,0,1,53,0
23360,Sales & Marketing,m,42,10,2,0,2,46,0
53301,Operations,m,34,8,3,0,1,61,0
29073,Operations,f,34,8,5,0,1,54,0
36460,Operations,m,29,1,,0,1,62,0
3171,Operations,f,32,7,4,0,1,59,0
55062,Operations,f,27,2,5,0,1,61,0
64798,Analytics,m,30,1,,0,3,83,0
7908,Technology,m,46,17,3,0,1,83,0
70048,Sales & Marketing,m,37,10,3,0,1,49,1
63757,Sales & Marketing,f,48,13,4,0,1,52,0
19046,Technology,m,40,12,5,0,1,84,0
37427,Technology,m,32,6,3,0,1,73,0
58138,Sales & Marketing,m,33,7,1,0,1,48,0
68064,Procurement,f,35,6,3,0,1,66,0
6711,Sales & Marketing,m,23,2,3,0,1,51,0
51002,Analytics,m,32,4,3,0,1,86,0
5132,Operations,m,31,6,3,0,4,59,0
15801,Operations,f,40,13,4,0,1,60,0
47265,Procurement,m,43,7,2,0,1,70,0
26798,Operations,m,38,6,3,0,1,60,0
72203,Sales & Marketing,m,36,8,5,0,1,49,0
46862,Procurement,m,49,20,5,0,1,65,0
75629,Sales & Marketing,f,32,4,1,0,1,50,0
10452,Analytics,m,26,2,3,0,2,91,0
37017,Analytics,m,55,18,3,0,1,87,0
76427,HR,f,35,5,3,0,1,50,0
46925,Operations,f,36,6,4,0,1,59,0
43828,Sales & Marketing,m,29,4,5,0,1,45,0
58383,Procurement,m,46,19,3,0,1,72,0
20660,R&D,m,30,4,3,0,2,84,0
46166,Sales & Marketing,m,51,19,5,0,1,40,0
11123,Sales & Marketing,m,37,7,3,0,1,54,0
67946,Analytics,m,27,2,3,0,1,88,0
41763,Sales & Marketing,m,43,4,1,0,1,49,0
40628,HR,f,31,7,3,0,1,51,0
61482,Operations,f,38,9,4,0,2,65,0
63083,Sales & Marketing,f,43,10,1,0,1,45,0
33789,Technology,m,29,4,3,0,3,81,0
3540,Technology,f,30,2,3,0,1,79,0
51292,HR,f,49,22,5,0,1,50,0
137,Analytics,m,49,5,4,0,1,90,0
73204,Sales & Marketing,m,36,5,2,0,1,48,0
73753,Procurement,m,33,3,1,0,1,71,0
49737,Sales & Marketing,m,52,25,3,0,3,49,0
22462,Sales & Marketing,f,29,1,,0,1,53,0
36905,Operations,m,37,11,3,0,1,56,0
16004,Finance,m,25,3,3,0,1,61,0
10002,HR,m,24,1,,0,1,52,0
43176,Technology,f,37,13,4,0,1,79,0
12538,Operations,m,35,10,5,0,1,59,1
56140,Technology,f,33,4,3,0,1,76,1
71196,Procurement,f,33,9,5,0,1,71,0
57893,Technology,f,59,28,3,0,1,78,0
5640,Analytics,m,29,1,,0,1,88,0
41208,Operations,f,38,8,2,0,1,59,0
55857,Operations,m,48,13,4,0,1,57,0
27907,Legal,m,31,1,3,0,1,62,0
5933,Technology,f,32,5,1,0,1,77,0
44678,Procurement,m,24,2,3,0,3,63,0
48266,Technology,m,37,5,5,0,2,77,0
46639,Sales & Marketing,f,32,8,5,0,1,46,1
21523,Sales & Marketing,m,31,2,3,0,1,48,0
32437,Operations,m,45,5,3,1,2,61,0
65689,Sales & Marketing,m,57,6,5,0,1,45,0
73819,Operations,m,39,8,2,0,2,59,0
74019,Procurement,m,42,4,1,0,1,70,0
76698,Operations,f,45,4,3,1,1,65,1
70387,Operations,m,41,3,3,0,1,61,0
56162,Technology,f,41,11,1,0,1,74,0
26260,Sales & Marketing,m,34,7,1,0,1,50,0
53188,Sales & Marketing,m,47,18,5,0,1,52,0
34074,Sales & Marketing,m,33,7,5,0,1,51,0
38934,Operations,f,48,15,3,0,1,69,1
39799,Operations,m,34,3,4,0,1,60,0
40775,Sales & Marketing,m,35,4,5,0,1,47,0
41928,Analytics,m,35,4,5,0,1,84,0
31364,Technology,f,26,2,3,0,2,79,0
25351,Sales & Marketing,m,45,17,3,0,1,49,0
72690,Sales & Marketing,f,31,1,3,0,1,54,0
11666,Sales & Marketing,m,30,7,5,0,1,49,0
10167,Sales & Marketing,m,46,5,1,0,1,50,0
43399,Operations,f,60,4,5,0,1,56,0
72916,Operations,m,44,11,5,0,1,55,0
19440,Technology,m,35,3,3,0,3,86,0
55444,Sales & Marketing,m,33,6,2,0,2,52,0
10360,Operations,m,38,8,4,0,1,55,0
66637,Technology,m,39,5,3,0,1,80,0
63026,Sales & Marketing,m,30,2,3,0,1,50,0
53981,Operations,m,31,1,,0,1,65,0
66248,Sales & Marketing,m,57,3,4,0,1,50,0
73279,Sales & Marketing,f,34,7,1,0,1,50,0
57365,Operations,m,38,4,3,0,1,66,0
36691,Sales & Marketing,m,24,1,,0,1,55,0
31987,Procurement,m,45,16,3,0,1,87,1
73265,Sales & Marketing,m,40,11,1,0,1,53,0
62530,Procurement,m,32,3,3,0,2,70,0
52716,Sales & Marketing,f,29,2,3,0,2,48,0
12930,Finance,f,39,11,4,0,1,59,0
70371,Analytics,m,32,7,3,0,1,80,0
32774,Operations,m,57,7,4,0,2,58,0
78119,Procurement,f,36,4,3,0,1,72,0
50338,Sales & Marketing,m,34,5,1,0,1,46,0
64630,HR,f,33,7,5,0,1,50,0
1830,Technology,m,39,4,2,0,1,81,0
60743,Finance,f,32,8,4,0,2,59,0
77734,Technology,m,31,6,3,0,1,77,0
51440,Sales & Marketing,m,31,7,1,0,1,52,0
58579,Procurement,f,25,3,3,0,1,68,0
38123,Sales & Marketing,f,43,4,5,0,1,50,0
57033,Operations,m,25,1,,0,1,65,0
42513,Procurement,f,50,16,1,0,1,68,0
29146,Operations,m,32,4,3,0,3,64,1
72935,Finance,m,28,2,3,0,1,59,0
16889,Sales & Marketing,m,32,5,1,0,1,51,0
6181,Sales & Marketing,m,34,5,5,0,1,49,0
9025,Operations,m,30,4,5,0,1,55,0
65024,Operations,f,33,6,5,0,1,74,1
61874,Procurement,m,46,19,4,0,2,70,0
30900,Sales & Marketing,m,35,10,4,0,1,50,1
44381,Operations,m,33,8,5,0,1,59,1
805,Operations,m,30,4,4,0,1,59,0
10468,Procurement,m,33,4,5,0,2,71,0
54127,Sales & Marketing,m,28,5,4,0,1,52,0
63027,Technology,m,38,8,3,0,1,84,0
26944,Sales & Marketing,f,34,7,2,0,1,49,1
6788,Sales & Marketing,f,40,1,,0,2,51,0
51318,Procurement,f,30,5,3,0,2,73,0
30551,Operations,f,29,7,2,0,1,60,0
74141,R&D,m,30,3,3,0,1,83,0
16399,Sales & Marketing,m,38,10,4,0,1,50,0
10389,Operations,m,40,11,3,0,3,60,0
15369,Analytics,f,29,5,4,0,1,86,0
41337,HR,f,53,25,4,0,1,47,0
633,Sales & Marketing,f,26,2,3,0,1,49,0
30155,Analytics,m,28,1,,0,2,82,0
59337,Analytics,m,26,1,,0,1,84,0
3968,Procurement,m,28,4,3,0,1,65,0
1709,HR,f,30,3,3,0,1,51,0
1588,Operations,m,59,4,4,0,1,56,0
573,R&D,f,29,1,,0,1,86,0
24750,Technology,m,31,4,3,0,1,83,0
9098,Procurement,f,26,2,3,0,1,69,0
41768,Operations,f,37,10,3,0,1,62,0
43660,Operations,f,25,1,3,0,1,62,0
8027,Technology,m,27,3,2,0,1,78,0
15774,Operations,m,39,10,4,0,1,60,0
4857,Analytics,m,36,3,5,0,1,91,1
58988,Procurement,m,35,6,5,0,2,91,1
54550,Technology,f,28,1,,0,1,81,0
31552,Sales & Marketing,m,30,1,,0,1,50,0
76968,Procurement,m,37,9,5,0,1,75,0
73203,Technology,m,35,9,1,0,2,80,0
60095,Sales & Marketing,f,30,5,1,0,1,54,0
6731,R&D,m,30,1,5,0,1,96,1
39725,Technology,m,45,3,4,0,1,83,0
70021,Procurement,m,36,7,3,0,1,71,0
22958,Sales & Marketing,m,37,4,3,0,1,50,0
21955,Procurement,f,39,4,3,0,2,73,0
72984,Operations,m,37,6,5,0,1,59,0
63667,Procurement,m,28,1,,0,1,82,1
4147,Procurement,m,40,12,3,0,1,70,0
28714,Sales & Marketing,m,30,3,5,0,1,52,0
51959,Operations,m,36,7,4,0,1,56,0
68716,Sales & Marketing,f,27,4,2,0,1,57,0
30802,Operations,f,29,4,1,0,1,57,0
34542,Technology,f,31,5,3,0,7,82,0
32970,Procurement,m,36,7,4,0,1,67,0
10936,Operations,m,30,4,4,0,1,57,0
20326,Analytics,m,32,6,3,0,2,86,0
38445,Sales & Marketing,m,29,2,5,0,1,50,0
18621,Sales & Marketing,f,29,1,,0,1,45,0
10345,Sales & Marketing,m,38,8,1,0,2,47,0
25834,Procurement,f,51,15,3,0,1,71,0
333,Finance,m,32,8,3,0,1,58,0
28850,Technology,f,36,5,3,0,1,83,0
61888,Operations,m,30,5,5,0,2,57,0
30928,Finance,f,26,5,3,0,1,56,0
21230,R&D,m,32,3,5,0,2,83,1
22445,Sales & Marketing,m,26,3,3,0,2,50,0
57206,Analytics,m,30,2,4,0,1,83,0
57587,Sales & Marketing,f,28,2,1,0,1,50,0
29950,Sales & Marketing,m,40,18,3,0,1,55,1
1825,Legal,m,33,6,1,0,1,66,0
